1		
3	3	1
5	5	1
7	7	1
11	11	1
13	13	1
17	17	1
19	19	1
23	23	1
29	29	1
31	31	1
37	37	1
41	41	1
43	43	1
47	47	1
53	53	1
59	59	1
61	61	1
67	67	1
71	71	1
73	73	1
79	79	1
83	83	1
89	89	1
97	97	1
101	101	1
103	103	1
107	107	1
109	109	1
113	113	1
127	127	1
131	131	1
137	137	1
139	139	1
149	149	1
151	151	1
157	157	1
163	163	1
167	167	1
173	173	1
179	179	1
181	181	1
191	191	1
193	193	1
197	197	1
199	199	1
211	211	1
223	223	1
227	227	1
229	229	1
233	233	1
239	239	1
241	241	1
251	251	1
257	257	1
263	263	1
269	269	1
271	271	1
277	277	1
281	281	1
283	283	1
293	293	1
307	307	1
311	311	1
313	313	1
317	317	1
331	331	1
337	337	1
347	347	1
349	349	1
353	353	1
359	359	1
367	367	1
373	373	1
379	379	1
383	383	1
389	389	1
397	397	1
401	401	1
409	409	1
419	419	1
421	421	1
431	431	1
433	433	1
439	439	1
443	443	1
449	449	1
457	457	1
461	461	1
463	463	1
467	467	1
479	479	1
487	487	1
491	491	1
499	499	1
503	503	1
509	509	1
521	521	1
523	523	1
541	541	1
547	547	1
557	557	1
563	563	1
569	569	1
571	571	1
577	577	1
587	587	1
593	593	1
599	599	1
601	601	1
607	607	1
613	613	1
617	617	1
619	619	1
631	631	1
641	641	1
643	643	1
647	647	1
653	653	1
659	659	1
661	661	1
673	673	1
677	677	1
683	683	1
691	691	1
701	701	1
709	709	1
719	719	1
727	727	1
733	733	1
739	739	1
743	743	1
751	751	1
757	757	1
761	761	1
769	769	1
773	773	1
787	787	1
797	797	1
809	809	1
811	811	1
821	821	1
823	823	1
827	827	1
829	829	1
839	839	1
853	853	1
857	857	1
859	859	1
863	863	1
877	877	1
881	881	1
883	883	1
887	887	1
907	907	1
911	911	1
919	919	1
929	929	1
937	937	1
941	941	1
947	947	1
953	953	1
967	967	1
971	971	1
977	977	1
983	983	1
991	991	1
997	997	1
1009	1009	1
1013	1013	1
1019	1019	1
1021	1021	1
1031	1031	1
1033	1033	1
1039	1039	1
1049	1049	1
1051	1051	1
1061	1061	1
1063	1063	1
1069	1069	1
1087	1087	1
1091	1091	1
1093	1093	1
1097	1097	1
1103	1103	1
1109	1109	1
1117	1117	1
1123	1123	1
1129	1129	1
1151	1151	1
1153	1153	1
1163	1163	1
1171	1171	1
1181	1181	1
1187	1187	1
1193	1193	1
1201	1201	1
1213	1213	1
1217	1217	1
1223	1223	1
1229	1229	1
1231	1231	1
1237	1237	1
1249	1249	1
1259	1259	1
1277	1277	1
1279	1279	1
1283	1283	1
1289	1289	1
1291	1291	1
1297	1297	1
1301	1301	1
1303	1303	1
1307	1307	1
1319	1319	1
1321	1321	1
1327	1327	1
1361	1361	1
1367	1367	1
1373	1373	1
1381	1381	1
1399	1399	1
1409	1409	1
1423	1423	1
1427	1427	1
1429	1429	1
1433	1433	1
1439	1439	1
1447	1447	1
1451	1451	1
1453	1453	1
1459	1459	1
1471	1471	1
1481	1481	1
1483	1483	1
1487	1487	1
1489	1489	1
1493	1493	1
1499	1499	1
1511	1511	1
1523	1523	1
1531	1531	1
1543	1543	1
1549	1549	1
1553	1553	1
1559	1559	1
1567	1567	1
1571	1571	1
1579	1579	1
1583	1583	1
1597	1597	1
1601	1601	1
